"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"248330","occ","","","24237","Rhinoptera","genus","34745","Tortonian","","11.62","7.246","6853"
"248331","occ","","","24237","Aetobatus arcuatus","species","80582","Tortonian","","11.62","7.246","6853"
"255573","occ","","","14455","Squatina hassei","species","63024","Judithian","","83.5","70.6","1691"
"255574","occ","30970","","14455","Ginglymostoma globidens","species","117668","Judithian","","83.5","70.6","54671"
"255575","occ","","","14455","Odontaspis","genus","34620","Judithian","","83.5","70.6","1691"
"255576","occ","","","14455","Synodontaspis holmdelensis","species","117673","Judithian","","83.5","70.6","1691"
"255578","occ","","","14455","Cretolamna appendiculata","species","117676","Judithian","","83.5","70.6","1691"
"255579","occ","","","14455","Cretodus","genus","34607","Judithian","","83.5","70.6","1691"
"255580","occ","","","14455","Cretodus borodini","species","117678","Judithian","","83.5","70.6","1691"
"255581","occ","30971","","14455","Paranomotodon","genus","34626","Judithian","","83.5","70.6","54671"
"255582","occ","","","14455","Pseudocorax","genus","34630","Judithian","","83.5","70.6","1691"
"255583","occ","","","14455","Squalicorax kaupi","species","210092","Judithian","","83.5","70.6","1691"
"255584","occ","","","14455","Pseudohypolophus","genus","34703","Judithian","","83.5","70.6","1691"
"255587","occ","30972","","14455","Sclerorhynchus","genus","34712","Judithian","","83.5","70.6","54671"
"256327","occ","","","20604","Ginglymostoma","genus","34584","Late Pleistocene","","0.126","0.0117","1962"
"256328","occ","","","20604","Carcharias taurus","species","83130","Late Pleistocene","","0.126","0.0117","1962"
"256329","occ","","","20604","Galeocerdo cuvier","species","83185","Late Pleistocene","","0.126","0.0117","1962"
"256330","occ","","","20604","Carcharhinus leucas","species","83189","Late Pleistocene","","0.126","0.0117","1962"
"256331","occ","","","20604","Carcharhinus obscurus","species","83193","Late Pleistocene","","0.126","0.0117","1962"
"256332","occ","","","20604","Carcharhinus","genus","34640","Late Pleistocene","","0.126","0.0117","1962"
"256333","occ","","","20604","Negaprion brevirostris","species","288152","Late Pleistocene","","0.126","0.0117","1962"
"256334","occ","","","20604","Rhizoprionodon","genus","34662","Late Pleistocene","","0.126","0.0117","1962"
"256335","occ","","","20604","Sphyrna","genus","34664","Late Pleistocene","","0.126","0.0117","1962"
"256337","occ","","","20604","Aetobatus narinari","species","154699","Late Pleistocene","","0.126","0.0117","1962"
"256338","occ","","","20604","Myliobatidae","family","80577","Late Pleistocene","","0.126","0.0117","1962"
"256412","occ","","","20613","Carcharias taurus","species","83130","Late Pleistocene","","0.126","0.0117","1962"
"256413","occ","","","20613","Galeocerdo cuvier","species","83185","Late Pleistocene","","0.126","0.0117","1962"
"256414","occ","","","20613","Carcharhinus leucas","species","83189","Late Pleistocene","","0.126","0.0117","1962"
"256415","occ","","","20613","Carcharhinus obscurus","species","83193","Late Pleistocene","","0.126","0.0117","1962"
"256416","occ","","","20613","Carcharhinus","genus","34640","Late Pleistocene","","0.126","0.0117","1962"
"256417","occ","","","20613","Negaprion brevirostris","species","288152","Late Pleistocene","","0.126","0.0117","1962"
"256418","occ","","","20613","Rhizoprionodon","genus","34662","Late Pleistocene","","0.126","0.0117","1962"
"256419","occ","","","20613","Aetobatus narinari","species","154699","Late Pleistocene","","0.126","0.0117","1962"
"256420","occ","","","20613","Myliobatidae","family","80577","Late Pleistocene","","0.126","0.0117","1962"
"262174","occ","","","25325","Peyeria libyca","species","154620","Early Cenomanian","","99.6","93.5","7098"
"262175","occ","","","25325","Serratolamna","genus","86150","Early Cenomanian","","99.6","93.5","7098"
"266097","occ","","","25592","Onchus","genus","34866","Early Devonian","","419.2","393.3","7144"
"266098","occ","","","25592","Onchus","genus","34866","Early Devonian","","419.2","393.3","7144"
"266099","occ","","","25592","Onchus","genus","34866","Early Devonian","","419.2","393.3","7144"
"267456","occ","","","25692","Squalicorax pristodontus","species","110986","Middle Campanian","","83.5","70.6","7164"
"269904","occ","","","15671","Galeorhinus","genus","83177","Wasatchian","","55.8","50.3","2671"
"276562","occ","","","26176","Onchus","genus","34866","Emsian","","407.6","393.3","7258"
"276563","occ","","","26176","Onchus","genus","34866","Emsian","","407.6","393.3","7258"
"280201","occ","","","26767","Squalicorax pristodontus","species","110986","Late Campanian","","83.5","70.6","7398"
"281617","occ","","","26818","Squalicorax pristodontus","species","110986","Early Maastrichtian","","70.6","66","7438"
"281618","occ","","","26818","Odontaspis","genus","34620","Early Maastrichtian","","70.6","66","7438"
"281661","occ","","","26819","Squatina","genus","34570","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281662","occ","","","26819","Squalicorax pristodontus","species","110986","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281663","occ","","","26819","Cretolamna appendiculata","species","117676","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281664","occ","","","26819","Odontaspis cuspidata","species","80589","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281667","occ","","","26819","Rhinoptera","genus","34745","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281668","occ","","","26819","Myliobatis striatus","species","132634","Late Maastrichtian","Early Paleocene","70.6","61.7","29473"
"281703","occ","","","26820","Odontaspis","genus","34620","Danian","","66","61.6","7438"
"281704","occ","","","26820","Lamna obliqua","species","80600","Danian","","66","61.6","7438"
"281705","occ","","","26820","Palaeocarcharodon","genus","34623","Danian","","66","61.6","7438"
"282536","occ","","","26874","Onchus","genus","34866","Lochkovian","Pragian","419.2","407.6","4261"
"283707","occ","","","13894","Onchus","genus","34866","Pridoli","","423","419.2","4261"
"284100","occ","10475","","27014","Igdabatis indicus","species","111387","Maastrichtian","","72.1","66","7470"
"287928","occ","","","14557","Myledaphus bipartitus","species","63022","Lancian","","70.6","66","774"
"288599","occ","","","14489","Onchopristis dunklei","species","154139","Judithian","","83.5","70.6","2988"
"288601","occ","","","14489","Squatirhina americana","species","67743","Judithian","","83.5","70.6","2988"
"289145","occ","","","27570","Sclerorhynchus","genus","34712","Late Campanian","","83.5","70.6","776"
"289148","occ","","","27570","Pseudohypolophus","genus","34703","Late Campanian","","83.5","70.6","776"
"289150","occ","","","27570","Squatina hassei","species","63024","Late Campanian","","83.5","70.6","776"
"289152","occ","","","27570","Synodontaspis holmdelensis","species","117673","Late Campanian","","83.5","70.6","776"
"289153","occ","","","27570","Odontaspis","genus","34620","Late Campanian","","83.5","70.6","776"
"289156","occ","","","27570","Plicatolamna arcuata","species","117653","Late Campanian","","83.5","70.6","776"
"289157","occ","","","27570","Cretodus borodini","species","117678","Late Campanian","","83.5","70.6","776"
"289158","occ","","","27570","Paranomotodon","genus","34626","Late Campanian","","83.5","70.6","776"
"289159","occ","","","27570","Squalicorax kaupi","species","210092","Late Campanian","","83.5","70.6","776"
"289160","occ","","","27570","Squalicorax pristodontus","species","110986","Late Campanian","","83.5","70.6","776"
"289161","occ","","","27570","Pseudocorax","genus","34630","Late Campanian","","83.5","70.6","776"
"289630","occ","","","27604","Leptostyrax bicuspidatus","species","151697","Albian","","113","100.5","7600"
"289644","occ","","","27606","Leptostyrax bicuspidatus","species","151697","Albian","","113","100.5","7600"
"289709","occ","","","27613","Leptostyrax bicuspidatus","species","151697","Albian","","113","100.5","7600"
"289744","occ","","","14375","Leptostyrax bicuspidatus","species","151697","Albian","","113","100.5","7600"
"289818","occ","","","16542","Striatolamia macrota","species","66716","Late Uintan","","46.2","40.4","702"
"289819","occ","","","16542","Carcharhinus","genus","34640","Late Uintan","","46.2","40.4","702"
"289820","occ","","","16542","Galeocerdo eaglesomei","species","174776","Late Uintan","","46.2","40.4","702"
"289821","occ","","","16542","Pristis","genus","34700","Late Uintan","","46.2","40.4","702"
"289824","occ","","","16542","Myliobatis","genus","34741","Late Uintan","","46.2","40.4","702"
"289825","occ","","","16542","Rhinoptera","genus","34745","Late Uintan","","46.2","40.4","702"
"289834","occ","11959","","16549","Carcharias","genus","64190","Priabonian","","38","33.9","12028"
"289835","occ","11960","","16549","Abdounia","genus","34638","Priabonian","","38","33.9","12028"
"289836","occ","11961","","16549","Galeocerdo latidens","species","154351","Priabonian","","38","33.9","12028"
"289837","occ","11962","","16549","Hemipristis","genus","34646","Priabonian","","38","33.9","12028"
"289838","occ","","","16549","Prionodon gibbesi","species","131327","Priabonian","","38","33.9","701"
"289839","occ","","","16549","Pristis","genus","34700","Priabonian","","38","33.9","701"
"289840","occ","","","16549","Myliobatis","genus","34741","Priabonian","","38","33.9","701"
"290970","occ","","","27774","Leptostyrax","genus","34616","Early Albian","","112.03","109","736"
"291031","occ","","","14640","Squatirhina americana","species","67743","Lancian","","70.6","66","717"
"291033","occ","","","14640","Myledaphus bipartitus","species","63022","Lancian","","70.6","66","717"
